cluster,gene,cells_in_cluster,mean_in_cluster,mean_outside_cluster,t_statistic,p_value,fdr,mean_log2_difference
11,CRIP2,44,0.014284999,1.1250668,-32.18329,2.2250738585072014e-308,1.866589736858819e-306,-1.1107818
11,SERPINA3,44,0.025836365,1.2159445,-24.737347,2.2250738585072014e-308,1.866589736858819e-306,-1.1901082
11,SPOCK2,44,0.0,1.2520978,-43.019245,2.2250738585072014e-308,1.866589736858819e-306,-1.2520978
11,PYHIN1,44,0.0,1.2876339,-40.282753,2.2250738585072014e-308,1.866589736858819e-306,-1.2876339
12,IGFBP7,77,7.8453164,0.8322912,30.20177,2.2250738585072014e-308,3.199868120329404e-307,7.0130253
12,IFITM3,77,8.964593,3.1066363,51.91835,2.2250738585072014e-308,3.199868120329404e-307,5.857957
12,VIM,77,8.944542,5.7217937,29.460278,2.2250738585072014e-308,3.199868120329404e-307,3.2227483
12,LST1,77,0.0,0.3493656,-19.19115,2.2250738585072014e-308,3.199868120329404e-307,-0.3493656
12,GZMH,77,0.0,0.77516097,-24.135542,2.2250738585072014e-308,3.199868120329404e-307,-0.77516097
12,CXCR6,77,0.0,0.79953045,-25.384731,2.2250738585072014e-308,3.199868120329404e-307,-0.79953045
12,IFNG,77,0.0,0.80562574,-26.29448,2.2250738585072014e-308,3.199868120329404e-307,-0.80562574
12,ICOS,77,0.0,0.82316965,-28.061483,2.2250738585072014e-308,3.199868120329404e-307,-0.82316965
12,TARP,77,0.0,0.8248552,-26.74351,2.2250738585072014e-308,3.199868120329404e-307,-0.8248552
12,APOC2,77,0.0,0.82781076,-26.667757,2.2250738585072014e-308,3.199868120329404e-307,-0.82781076
13,CD8A,315,7.339746,1.4462891,53.492268,2.2250738585072014e-308,3.082441767289793e-307,5.893457
13,NKG7,315,7.6161637,1.8194497,50.792423,2.2250738585072014e-308,3.082441767289793e-307,5.796714
13,KLRK1,315,6.442528,1.4584484,35.89792,2.2250738585072014e-308,3.082441767289793e-307,4.9840794
13,PRF1,315,5.521035,1.3631871,23.747726,2.2250738585072014e-308,3.082441767289793e-307,4.1578484
13,GZMK,315,5.5696535,1.4490695,22.865276,2.2250738585072014e-308,3.082441767289793e-307,4.120584
13,HSPA1A,315,6.453385,2.6233025,18.42722,2.2250738585072014e-308,3.082441767289793e-307,3.8300824
13,CD8B,315,4.8514876,1.0337405,24.001629,2.2250738585072014e-308,3.082441767289793e-307,3.817747
13,FCRL3,315,4.659367,0.8889541,23.481182,2.2250738585072014e-308,3.082441767289793e-307,3.770413
13,CST7,315,5.465344,1.7809929,26.556206,2.2250738585072014e-308,3.082441767289793e-307,3.684351
13,IL32,315,6.6376705,2.9717712,34.688343,2.2250738585072014e-308,3.082441767289793e-307,3.6658993
