gene,mean,variance,detected_fraction
ETFA,1.5094025135040283,4.7078752517700195,0.3717976318622174
NDUFA2,1.734561800956726,4.707222938537598,0.4241119483315393
KLF6,3.49792742729187,4.70641565322876,0.8559741657696448
LY9,1.2056074142456055,4.705891132354736,0.2811625403659849
NINJ1,1.2317403554916382,4.705338478088379,0.27771797631862216
FN1,1.1003540754318237,4.702847480773926,0.296232508073197
SARS,2.657032012939453,4.702453136444092,0.840043057050592
DCT,0.8475508093833923,4.698249816894531,0.16878363832077503
COA3,1.4080337285995483,4.69751501083374,0.3242195909580194
IMP3,1.4990959167480469,4.696927070617676,0.3672766415500538
MRPL40,1.395385503768921,4.69059944152832,0.31926803013993543
DNAJB14,1.8522789478302002,4.690553665161133,0.5214208826695371
MRPL14,1.3757866621017456,4.68778657913208,0.3119483315392896
SH2D1A,1.1508291959762573,4.672179222106934,0.2566200215285253
IAH1,1.4274232387542725,4.671908855438232,0.3373519913885899
PYHIN1,1.2754360437393188,4.671006202697754,0.3085037674919268
SHC1,1.7269095182418823,4.6705803871154785,0.45618945102260494
RHBDD2,1.560381293296814,4.6704511642456055,0.40710441334768566
NELFE,1.5566679239273071,4.667327404022217,0.38643702906350913
ELOVL1,1.5235538482666016,4.666234493255615,0.38019375672766414
APOA1BP,1.5240907669067383,4.666176795959473,0.367491926803014
PCNP,1.915289044380188,4.665729999542236,0.5227125941872982
PIP4K2A,2.5133328437805176,4.660649299621582,0.6992465016146394
PEF1,1.4356156587600708,4.660409927368164,0.3547900968783638
HNRNPC,3.8867814540863037,4.660104751586914,0.8398277717976319
GPAA1,1.5920661687850952,4.659460544586182,0.39483315392895585
TMC6,1.6046615839004517,4.658938407897949,0.44757804090419806
N4BP2L2,2.447157621383667,4.656956195831299,0.6693218514531755
TMEM123,1.7830246686935425,4.656655788421631,0.4932185145317546
PLAC8,2.285310983657837,4.65393590927124,0.7515608180839612
CD82,2.5662310123443604,4.653240203857422,0.7847147470398278
YTHDF2,1.758253812789917,4.653014183044434,0.469967707212056
POLR2L,2.058194637298584,4.647592544555664,0.5280947255113024
HLA-B,7.999382972717285,4.647241592407227,0.9739504843918192
ZFP36L1,3.650761842727661,4.646947860717773,0.8611410118406889
DOK2,1.0521947145462036,4.645020484924316,0.2155005382131324
GZMH,0.7623109221458435,4.64253044128418,0.12271259418729817
FYN,1.6167734861373901,4.633748531341553,0.48116254036598494
TM4SF1,0.9895306825637817,4.631429672241211,0.1967707212055974
PTGER4,1.1783729791641235,4.6294636726379395,0.27814854682454254
C22orf28,1.4752585887908936,4.622159481048584,0.3681377825618945
DANCR,1.3494302034378052,4.621542930603027,0.3255113024757804
LAMTOR2,1.5224053859710693,4.621476173400879,0.3597416576964478
PSMG2,1.478414535522461,4.621310710906982,0.36361679224973087
CKLF,1.6407668590545654,4.620832443237305,0.4191603875134553
DHPS,1.4444230794906616,4.617577075958252,0.355005382131324
SDR39U1,1.4040579795837402,4.614425182342529,0.3534983853606028
COMMD3,1.3877111673355103,4.613992691040039,0.3321851453175457
SNRPA1,1.6579068899154663,4.613679885864258,0.4378902045209903
SND1,1.9992742538452148,4.613382339477539,0.5435952637244349
LAP3,1.4937471151351929,4.6024885177612305,0.388805166846071
FAM65B,1.5814229249954224,4.60089635848999,0.5903121636167923
JTB,1.7343062162399292,4.598682880401611,0.4497308934337998
LSM3,1.5971001386642456,4.598045825958252,0.3963401506996771
ARPC5L,1.443933367729187,4.5980072021484375,0.3767491926803014
IDI1,1.5166456699371338,4.593043327331543,0.3946178686759957
SLAMF6,1.3608624935150146,4.592076301574707,0.49149623250807317
FKBP11,1.2537332773208618,4.5912346839904785,0.2869752421959096
